accession,body_site,layout,reads_before,reads_after,bases_before,bases_after,q20_rate_after,q30_rate_after,gc_content_after
ERR14222030,mouth,PAIRED,270222,251138,81202367,75463344,0.843923,0.694419,0.544739
ERR14222037,mouth,PAIRED,266728,248878,80197683,74828066,0.853243,0.707526,0.538119
ERR14222039,mouth,PAIRED,261676,243792,78661615,73281870,0.843657,0.695127,0.541277
ERR14222040,mouth,PAIRED,257826,245954,77306603,73742159,0.848143,0.71434,0.544485
ERR14222041,mouth,PAIRED,270288,252932,81227772,76005941,0.856801,0.71229,0.524141
ERR14222042,mouth,PAIRED,258300,243156,77640416,73085698,0.852662,0.705066,0.530787
ERR14222044,mouth,PAIRED,254678,239938,76556983,72123015,0.853229,0.705147,0.522382
ERR14222055,mouth,PAIRED,273144,261314,81888452,78341145,0.853673,0.720058,0.538846
ERR14222068,mouth,PAIRED,256658,248362,76968244,74478348,0.883436,0.747132,0.534854
ERR14222072,mouth,PAIRED,258544,241474,77736145,72601332,0.850797,0.703162,0.533095
ERR14222073,mouth,PAIRED,265350,250330,79772563,75255342,0.852908,0.704656,0.523238
ERR14222079,mouth,PAIRED,247640,231696,74432066,69638399,0.849344,0.701683,0.549994
SRR34998666,gut,SINGLE,86426,83461,26010447,25118952,0.869169,0.750081,0.533603
SRR34998667,gut,SINGLE,75805,73855,22814408,22228457,0.876447,0.759322,0.546015
SRR34998669,gut,SINGLE,63594,62212,19075472,18671023,0.874295,0.756509,0.541544
SRR34998670,gut,SINGLE,5855,5560,1761671,1672972,0.868282,0.732264,0.526878
SRR34998673,gut,SINGLE,26047,25059,7838075,7540723,0.879288,0.746288,0.516811
SRR34998675,gut,SINGLE,56144,54069,16891936,16267873,0.880994,0.75068,0.528747
SRR34998676,gut,SINGLE,59271,57484,17831020,17293756,0.882494,0.754697,0.537904
SRR34998677,gut,SINGLE,40689,39080,12244653,11760395,0.871947,0.737425,0.536871
SRR34998678,gut,SINGLE,60895,59267,18324985,17835215,0.882405,0.75386,0.535597
SRR34998679,gut,SINGLE,30660,29644,9226094,8920523,0.880679,0.751104,0.539114
SRR34998680,gut,SINGLE,81055,78762,24391359,23703871,0.877155,0.761506,0.537012
SRR34998668,gut,SINGLE,75579,73413,22745773,22096095,0.858773,0.735218,0.542226
SRR32820690,skin,PAIRED,2113520,1757420,143354727,128097469,1.0,1.0,0.540399
SRR32820691,skin,PAIRED,1688514,285396,71965979,21227003,1.0,1.0,0.482651
SRR32820692,skin,PAIRED,7312002,3889768,398814542,274198812,1.0,1.0,0.546508
SRR32820693,skin,PAIRED,12581468,9948256,835945102,717832616,1.0,1.0,0.492775
SRR32820694,skin,PAIRED,6144328,4419728,384660172,316181370,1.0,1.0,0.549606
SRR32820695,skin,PAIRED,11171450,8466328,713013072,605259726,1.0,1.0,0.501206
SRR32820696,skin,PAIRED,630104,560530,44710339,41704834,1.0,1.0,0.523948
SRR32820697,skin,PAIRED,612322,562772,44281463,41872118,1.0,1.0,0.552646
SRR32820698,skin,PAIRED,602312,537692,42940458,39997760,1.0,1.0,0.517344
SRR32820699,skin,PAIRED,355070,153576,18106943,10759242,1.0,1.0,0.66951
SRR32820700,skin,PAIRED,1491638,1408852,109210675,105069839,1.0,1.0,0.451985
SRR32820701,skin,PAIRED,893794,183314,39509177,13679685,1.0,1.0,0.493549
SRR35018774,vagina,PAIRED,311416,309038,78040803,77470568,0.914379,0.857403,0.529405
SRR35018776,vagina,PAIRED,265200,262200,66468825,65737110,0.833689,0.737634,0.527234
SRR35018777,vagina,PAIRED,103530,103244,25940887,25834307,0.920081,0.874327,0.523302
SRR35018778,vagina,PAIRED,278594,276210,69812860,69240245,0.894364,0.826301,0.528845
SRR35018780,vagina,PAIRED,283068,278318,70881799,69718695,0.795529,0.686907,0.537948
SRR35018781,vagina,PAIRED,260104,258258,65182283,64745009,0.926302,0.874189,0.529305
SRR35018783,vagina,PAIRED,188100,180370,47137848,45213987,0.827625,0.7283,0.534174
SRR35018784,vagina,PAIRED,121032,116582,30328333,29222082,0.830828,0.732937,0.542432
SRR35018785,vagina,PAIRED,181636,179618,45454397,44969001,0.879033,0.805664,0.513403
SRR35018786,vagina,PAIRED,220274,218010,55195834,54644835,0.908949,0.850678,0.52903
SRR35018787,vagina,PAIRED,280188,278028,70214929,69699183,0.92315,0.871565,0.531149
SRR35018788,vagina,PAIRED,158978,155108,47781844,42585249,0.888351,0.78605,0.519204
