accession,body_site,peptide_status,n_orfs_total,n_peptides_filtered,filtered_faa
ERR14222030,mouth,ok,530.0,350.0,/kaggle/working/metagenome_amp_discovery/data/peptides/ERR14222030.filtered_10_50aa.faa
ERR14222037,mouth,ok,627.0,440.0,/kaggle/working/metagenome_amp_discovery/data/peptides/ERR14222037.filtered_10_50aa.faa
ERR14222039,mouth,ok,602.0,366.0,/kaggle/working/metagenome_amp_discovery/data/peptides/ERR14222039.filtered_10_50aa.faa
ERR14222040,mouth,ok,165.0,116.0,/kaggle/working/metagenome_amp_discovery/data/peptides/ERR14222040.filtered_10_50aa.faa
ERR14222041,mouth,ok,488.0,274.0,/kaggle/working/metagenome_amp_discovery/data/peptides/ERR14222041.filtered_10_50aa.faa
ERR14222042,mouth,ok,486.0,318.0,/kaggle/working/metagenome_amp_discovery/data/peptides/ERR14222042.filtered_10_50aa.faa
ERR14222044,mouth,ok,527.0,269.0,/kaggle/working/metagenome_amp_discovery/data/peptides/ERR14222044.filtered_10_50aa.faa
ERR14222055,mouth,ok,278.0,170.0,/kaggle/working/metagenome_amp_discovery/data/peptides/ERR14222055.filtered_10_50aa.faa
ERR14222068,mouth,ok,208.0,125.0,/kaggle/working/metagenome_amp_discovery/data/peptides/ERR14222068.filtered_10_50aa.faa
ERR14222072,mouth,ok,396.0,197.0,/kaggle/working/metagenome_amp_discovery/data/peptides/ERR14222072.filtered_10_50aa.faa
ERR14222073,mouth,ok,492.0,255.0,/kaggle/working/metagenome_amp_discovery/data/peptides/ERR14222073.filtered_10_50aa.faa
ERR14222079,mouth,ok,466.0,337.0,/kaggle/working/metagenome_amp_discovery/data/peptides/ERR14222079.filtered_10_50aa.faa
SRR34998666,gut,ok,10.0,6.0,/kaggle/working/metagenome_amp_discovery/data/peptides/SRR34998666.filtered_10_50aa.faa
SRR34998667,gut,ok,3.0,2.0,/kaggle/working/metagenome_amp_discovery/data/peptides/SRR34998667.filtered_10_50aa.faa
SRR34998669,gut,skipped_no_orf,,,
