SRR_ID,body_site
ERR14222030,gut
ERR14222037,gut
ERR14222039,gut
ERR14222040,gut
ERR14222041,gut
ERR14222042,gut
ERR14222044,gut
ERR14222055,gut
ERR14222068,gut
ERR14222072,gut
ERR14222073,gut
ERR14222079,gut
SRR34998666,mouth
SRR34998667,mouth
SRR34998669,mouth
SRR34998670,mouth
SRR34998673,mouth
SRR34998675,mouth
SRR34998676,mouth
SRR34998677,mouth
SRR34998678,mouth
SRR34998679,mouth
SRR34998680,mouth
SRR34998668,mouth
SRR32820690,skin
SRR32820691,skin
SRR32820692,skin
SRR32820693,skin
SRR32820694,skin
SRR32820695,skin
SRR32820696,skin
SRR32820697,skin
SRR32820698,skin
SRR32820699,skin
SRR32820700,skin
SRR32820701,skin
SRR35018774,vagina
SRR35018776,vagina
SRR35018777,vagina
SRR35018778,vagina
SRR35018780,vagina
SRR35018781,vagina
SRR35018783,vagina
SRR35018784,vagina
SRR35018785,vagina
SRR35018786,vagina
SRR35018787,vagina
SRR35018788,vagina
