SRR_ID,body_site
ERR14222030,mouth
ERR14222037,mouth
ERR14222039,mouth
ERR14222040,mouth
ERR14222041,mouth
ERR14222042,mouth
ERR14222044,mouth
ERR14222055,mouth
ERR14222068,mouth
ERR14222072,mouth
ERR14222073,mouth
ERR14222079,mouth
SRR34998666,gut
SRR34998667,gut
SRR34998669,gut
SRR34998670,gut
SRR34998673,gut
SRR34998675,gut
SRR34998676,gut
SRR34998677,gut
SRR34998678,gut
SRR34998679,gut
SRR34998680,gut
SRR34998668,gut
SRR32820690,skin
SRR32820691,skin
SRR32820692,skin
SRR32820693,skin
SRR32820694,skin
SRR32820695,skin
SRR32820696,skin
SRR32820697,skin
SRR32820698,skin
SRR32820699,skin
SRR32820700,skin
SRR32820701,skin
SRR35018774,vagina
SRR35018776,vagina
SRR35018777,vagina
SRR35018778,vagina
SRR35018780,vagina
SRR35018781,vagina
SRR35018783,vagina
SRR35018784,vagina
SRR35018785,vagina
SRR35018786,vagina
SRR35018787,vagina
SRR35018788,vagina
