qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qcovs
AMP_0003,ETJ19659.1,81.25,32,6,0,1,32,10,41,1.29e-08,49.7,84.38
AMP_0003,SVC53184.1,78.125,32,7,0,1,32,12,43,1.87e-07,47,81.25
AMP_0003,CAB4765477.1,82.143,28,5,0,1,28,10,37,6.83e-07,45.4,85.71
AMP_0003,SVA64660.1,82.143,28,5,0,1,28,37,64,1.68e-06,45.1,85.71
AMP_0003,MNN58390.1,77.419,31,7,0,1,31,45,75,3.03e-06,45.1,77.42
AMP_0003,MNE71052.1,77.419,31,7,0,1,31,45,75,8.77e-06,44.3,77.42
AMP_0003,MNG08340.1,71.875,32,9,0,1,32,45,76,1.51e-05,43.9,78.12
AMP_0003,MNJ56419.1,77.419,31,7,0,1,31,45,75,1.72e-05,43.5,77.42
AMP_0003,MNC54461.1,77.419,31,7,0,1,31,45,75,2.25e-05,43.5,77.42
AMP_0003,MNI64648.1,74.194,31,8,0,1,31,45,75,4.00e-05,42,74.19
AMP_0003,SUZ85940.1,83.333,24,4,0,5,28,2,25,6.30e-04,37.7,83.33
AMP_0005,SVA64660.1,67.857,28,9,0,1,28,37,64,0.002,37,78.57
AMP_0005,CAB4765477.1,64.286,28,10,0,1,28,10,37,0.018,33.9,71.43
AMP_0006,MNI64648.1,73.077,26,7,0,1,26,50,75,0.022,34.7,76.92
AMP_0015,MNI64648.1,65.517,29,10,0,5,33,49,77,0.026,35.4,75.86
AMP_0017,SVA64660.1,75,28,7,0,1,28,37,64,1.53e-05,42.4,82.14
AMP_0017,MNN58390.1,67.857,28,9,0,1,28,45,72,0.007,36.2,75
AMP_0017,MNJ56419.1,67.857,28,9,0,1,28,45,72,0.009,36.2,75
AMP_0017,MNG08340.1,67.857,28,9,0,1,28,45,72,0.02,35.4,75
AMP_0017,MNE71052.1,67.857,28,9,0,1,28,45,72,0.021,35.4,75
AMP_0017,MNC54461.1,67.857,28,9,0,1,28,45,72,0.021,35.4,75
AMP_0017,MNI64648.1,64.286,28,10,0,1,28,45,72,0.024,34.7,71.43
AMP_0018,MNI64648.1,74.074,27,7,0,1,27,45,71,4.96e-05,41.2,85.19
AMP_0018,ETJ19659.1,74.074,27,7,0,1,27,10,36,2.95e-04,38.5,81.48
AMP_0018,MNG08340.1,70.37,27,8,0,1,27,45,71,0.001,38.5,81.48
AMP_0018,MNE71052.1,70.37,27,8,0,1,27,45,71,0.001,38.5,81.48
AMP_0018,MNC54461.1,70.37,27,8,0,1,27,45,71,0.001,38.5,81.48
AMP_0018,MNN58390.1,70.37,27,8,0,1,27,45,71,0.001,37.7,81.48
AMP_0018,MNJ56419.1,70.37,27,8,0,1,27,45,71,0.005,37,81.48
AMP_0018,SVC12107.1,70.37,27,8,0,1,27,10,36,0.006,35,81.48
AMP_0018,SUZ67153.1,75,24,6,0,4,27,1,24,0.036,33.1,79.17
AMP_0019,MNN58390.1,72.727,33,9,0,1,33,45,77,2.66e-08,50.1,84.85
AMP_0019,MNE71052.1,72.727,33,9,0,1,33,45,77,5.72e-08,50.1,84.85
AMP_0019,MNJ56419.1,69.697,33,10,0,1,33,45,77,2.72e-07,48.1,84.85
AMP_0019,MNG08340.1,74.194,31,8,0,1,31,45,75,4.18e-07,47.8,83.87
AMP_0019,SVA64660.1,78.571,28,6,0,1,28,37,64,5.49e-07,46.2,89.29
AMP_0019,MNC54461.1,69.697,33,10,0,1,33,45,77,1.56e-06,46.2,81.82
AMP_0019,MNI64648.1,66.667,33,11,0,1,33,45,77,4.24e-06,44.3,78.79
AMP_0019,CAB4765477.1,75,28,7,0,1,28,10,37,5.51e-06,43.1,82.14
AMP_0019,SVC12107.1,70.37,27,8,0,1,27,10,36,0.001,37,77.78
AMP_0022,MNE71052.1,47.826,46,24,0,1,46,45,90,0.004,38.1,63.04
AMP_0022,MNN58390.1,43.478,46,26,0,1,46,45,90,0.011,36.6,58.7
AMP_0022,MNJ56419.1,45.652,46,25,0,1,46,45,90,0.013,37,63.04
AMP_0023,SVC53184.1,78.571,28,6,0,1,28,17,44,7.82e-06,42.4,85.71
AMP_0023,SUZ85940.1,94.737,19,1,0,1,19,3,21,0.015,33.9,100
AMP_0023,MNN58390.1,76.923,26,6,0,1,26,50,75,0.022,34.7,80.77
AMP_0023,MNE71052.1,76.923,26,6,0,1,26,50,75,0.031,35,80.77
AMP_0024,MNG08340.1,71.429,28,8,0,4,31,48,75,0.016,35.8,75
AMP_0025,MNN58390.1,57.895,38,16,0,2,39,46,83,5.45e-04,39.7,65.79
AMP_0025,MNG08340.1,62.5,32,12,0,2,33,46,77,0.003,38.1,68.75
AMP_0025,MNE71052.1,57.143,35,15,0,2,36,46,80,0.009,37,62.86
AMP_0026,GAI41645.1,97.674,43,1,0,1,43,109,151,1.11e-20,83.6,97.67
AMP_0031,MNG08340.1,64.286,42,15,0,8,49,35,76,2.25e-09,54.3,73.81
AMP_0031,MNC54461.1,66.667,39,13,0,7,45,34,72,1.13e-08,52.8,76.92
AMP_0031,ETJ19659.1,65.854,41,14,0,9,49,1,41,1.69e-08,50.1,70.73
AMP_0031,MNN58390.1,65,40,14,0,9,48,36,75,5.70e-08,50.1,72.5
AMP_0031,MNE71052.1,65,40,14,0,9,48,36,75,7.81e-08,50.4,72.5
AMP_0031,MNJ56419.1,67.568,37,12,0,9,45,36,72,1.87e-07,49.7,75.68
AMP_0031,CAB4765477.1,64.865,37,13,0,9,45,1,37,2.71e-07,47,72.97
AMP_0031,MNI64648.1,62.162,37,14,0,9,45,36,72,8.95e-06,44.3,72.97
AMP_0033,MNC54461.1,62.791,43,16,0,4,46,34,76,5.12e-09,53.5,74.42
