accession,body_site,n_contigs,total_assembly_bp,contig_n50,mean_contig_len,median_contig_len
ERR14222030,mouth,771,257697,301,334.2373540856031,301.0
ERR14222037,mouth,911,299181,301,328.4094401756312,301.0
ERR14222039,mouth,911,298989,301,328.198682766191,301.0
ERR14222040,mouth,253,90731,366,358.6205533596838,320.0
ERR14222041,mouth,683,231706,301,339.24743777452414,301.0
ERR14222042,mouth,680,234662,301,345.0911764705882,301.0
ERR14222044,mouth,825,274650,301,332.90909090909093,301.0
ERR14222055,mouth,401,136303,320,339.90773067331673,301.0
ERR14222068,mouth,295,109308,378,370.53559322033897,327.0
ERR14222072,mouth,558,187744,301,336.4587813620072,301.0
ERR14222073,mouth,761,254213,301,334.05124835742447,301.0
ERR14222079,mouth,664,219843,301,331.08885542168673,301.0
SRR34998666,gut,17,5314,301,312.5882352941176,301.0
SRR34998667,gut,2,956,723,478.0,478.0
SRR34998669,gut,0,0,0,0.0,0.0
SRR34998670,gut,5,1072,205,214.4,205.0
SRR34998673,gut,5,1662,301,332.4,301.0
SRR34998675,gut,5,1643,301,328.6,301.0
SRR34998676,gut,2,925,465,462.5,462.5
SRR34998677,gut,9,3024,301,336.0,301.0
SRR34998678,gut,8,2567,301,320.875,301.0
SRR34998679,gut,12,4073,301,339.4166666666667,301.0
SRR34998680,gut,18,5833,301,324.05555555555554,301.0
SRR34998668,gut,5,1882,396,376.4,396.0
SRR32820690,skin,448,168521,349,376.16294642857144,298.5
SRR32820691,skin,67,46930,999,700.4477611940298,350.0
SRR32820692,skin,2977,3744185,35773,1257.7040644944575,332.0
SRR32820693,skin,4059,1823324,470,449.20522296132054,372.0
SRR32820694,skin,3499,2771418,1191,792.0600171477565,499.0
SRR32820695,skin,23186,16052148,840,692.3207107737428,391.0
SRR32820696,skin,2399,2374976,1421,989.985827428095,669.0
SRR32820697,skin,3038,1470739,525,484.114219881501,383.0
SRR32820698,skin,2572,1062965,415,413.2834370139969,339.0
SRR32820699,skin,13,11372,1472,874.7692307692307,482.0
SRR32820700,skin,6096,5181833,1428,850.0382217847769,410.0
SRR32820701,skin,89,37240,380,418.4269662921348,310.0
SRR35018774,vagina,17,6771,407,398.29411764705884,407.0
SRR35018776,vagina,5,1905,404,381.0,404.0
SRR35018777,vagina,3,1474,465,491.3333333333333,465.0
SRR35018778,vagina,3,1227,408,409.0,408.0
SRR35018780,vagina,4,1382,373,345.5,361.0
SRR35018781,vagina,14,5666,409,404.7142857142857,409.0
SRR35018783,vagina,18,7065,407,392.5,407.0
SRR35018784,vagina,16,6258,408,391.125,407.5
SRR35018785,vagina,17,6320,400,371.7647058823529,393.0
SRR35018786,vagina,20,7763,404,388.15,403.5
SRR35018787,vagina,18,6969,406,387.1666666666667,405.5
SRR35018788,vagina,122,41418,325,339.4918032786885,320.5
